,l1_ratio,Temp,T_lag_1,T_lag_2,T_lag_3,E_lag_1,E_lag_2,E_lag_3,t_cos,t_sin,d_cos,d_sin,w_cos,w_sin,m_cos,m_sin,MAE_train,IA_train,R2_train,MAE_val,IA_val,R2_val,MAE_test,IA_test,R2_test
0,0.999305703,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0.060617782,0.996408466,0.985816375,0.065119958,0.928003405,0.400793598,0.053299623,0.993144531,0.973713114
1,0.999864411,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0.060617501,0.996408479,0.985816416,0.065119522,0.928003439,0.400798001,0.053299269,0.993144609,0.973713392
2,0.999996361,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0.060617435,0.996408482,0.985816426,0.065119419,0.928003447,0.40079904,0.053299186,0.993144627,0.973713458
3,0.999966503,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0.060876283,0.996327036,0.985497777,0.065962843,0.927436664,0.414507707,0.051972182,0.993264767,0.97416871
4,0.999967458,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0.060617449,0.996408481,0.985816424,0.065119442,0.928003445,0.400798813,0.053299204,0.993144623,0.973713443
5,0.988851362,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0.060623087,0.996408226,0.985815592,0.065128207,0.928002755,0.400710235,0.053306313,0.993143061,0.973707856
6,0.999116354,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0.060617877,0.996408462,0.985816361,0.065120106,0.928003393,0.400792104,0.053299743,0.993144505,0.97371302
