,l1_ratio,Temp,T_lag_1,T_lag_2,T_lag_3,E_lag_1,E_lag_2,E_lag_3,t_cos,t_sin,d_cos,d_sin,w_cos,w_sin,m_cos,m_sin,MAE_train,IA_train,R2_train,MAE_val,IA_val,R2_val,MAE_test,IA_test,R2_test
0,0.998925313,1,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0.058990588,0.996605083,0.986585618,0.061974592,0.929138576,0.439867279,0.049992527,0.993931118,0.976848194
1,0.998989808,1,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0.058990564,0.996605084,0.986585622,0.061974571,0.92913858,0.439867611,0.049992507,0.993931123,0.976848207
2,0.999498298,1,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0.058990368,0.996605092,0.986585649,0.0619744,0.929138609,0.439870222,0.049992348,0.993931157,0.976848308
3,0.985327808,1,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0.058995915,0.996604854,0.986584877,0.061979212,0.929137759,0.439796387,0.049996859,0.993930197,0.976845449
4,0.999778272,1,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0.058990261,0.996605097,0.986585664,0.061974306,0.929138626,0.439871658,0.04999226,0.993931175,0.976848363
5,0.985724517,1,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0.058995757,0.996604861,0.986584899,0.061979075,0.929137784,0.439798484,0.049996731,0.993930224,0.97684553
6,0.988285533,1,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0.05899474,0.996604905,0.986585041,0.061978196,0.92913794,0.439811984,0.049995906,0.9939304,0.976846055
