,l1_ratio,Temp,T_lag_1,T_lag_2,T_lag_3,E_lag_1,E_lag_2,E_lag_3,t_cos,t_sin,d_cos,d_sin,w_cos,w_sin,m_cos,m_sin,MAE_train,IA_train,R2_train,MAE_val,IA_val,R2_val,MAE_test,IA_test,R2_test
0,0.999353733,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0.05987809,0.996473442,0.986069538,0.062876001,0.928296845,0.437522916,0.049973001,0.993739802,0.976173398
1,0.992332531,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0.059881144,0.996473333,0.986069202,0.062879123,0.928296836,0.437485295,0.049975522,0.99373926,0.976171735
2,0.998669207,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0.059878386,0.996473432,0.986069506,0.062876304,0.928296844,0.437519273,0.049973245,0.993739749,0.976173237
3,0.999772335,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0.059877909,0.996473449,0.986069558,0.062875817,0.928296845,0.437525141,0.049972852,0.993739834,0.976173496
4,0.999994372,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0.060095595,0.996407887,0.985812996,0.06392873,0.928332299,0.436388008,0.050868328,0.993523568,0.975255972
5,0.999510072,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0.059878022,0.996473445,0.986069545,0.062875932,0.928296845,0.437523748,0.049972945,0.993739814,0.976173435
6,0.997963364,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0.060096425,0.996407859,0.985812913,0.063929635,0.928332379,0.436379466,0.050869089,0.993523405,0.975255475
