,l1_ratio,Temp,T_lag_1,T_lag_2,T_lag_3,E_lag_1,E_lag_2,E_lag_3,t_cos,t_sin,d_cos,d_sin,w_cos,w_sin,m_cos,m_sin,MAE_train,IA_train,R2_train,MAE_val,IA_val,R2_val,MAE_test,IA_test,R2_test
0,0.999551219,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0.059061241,0.996594964,0.986546209,0.061906445,0.929387055,0.446077997,0.050152357,0.99389667,0.976743505
1,0.959503612,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0.059076752,0.996594276,0.986543979,0.061919277,0.929385538,0.445894116,0.050165141,0.993893806,0.976734987
2,0.99999814,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0.059061075,0.996594972,0.986546232,0.061906306,0.929387069,0.446079984,0.050152221,0.993896701,0.976743596
3,0.992762353,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0.059063788,0.996594853,0.986545848,0.061908567,0.92938683,0.446047577,0.050154442,0.993896201,0.976742111
4,0.99370589,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0.059063431,0.996594868,0.986545899,0.061908271,0.929386862,0.446051831,0.050154148,0.993896267,0.976742306
5,0.998635476,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0.059061582,0.996594949,0.986546161,0.06190673,0.929387025,0.446073919,0.050152636,0.993896607,0.976743318
6,0.999341674,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0.059061319,0.996594961,0.986546198,0.06190651,0.929387048,0.446077065,0.050152421,0.993896656,0.976743462
