,l1_ratio,Temp,T_lag_1,T_lag_2,T_lag_3,E_lag_1,E_lag_2,E_lag_3,t_cos,t_sin,d_cos,d_sin,w_cos,w_sin,m_cos,m_sin,MAE_train,IA_train,R2_train,MAE_val,IA_val,R2_val,MAE_test,IA_test,R2_test
0,0.999088008,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0.058694817,0.996675584,0.986860909,0.067904065,0.927226402,0.411812287,0.057284828,0.992648762,0.972702556
1,0.999988521,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0.058694482,0.996675599,0.98686096,0.067903298,0.927226768,0.411820385,0.057283783,0.992648983,0.97270327
2,0.999909012,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0.058694511,0.996675598,0.986860956,0.067903365,0.927226736,0.411819671,0.057283875,0.992648964,0.972703207
3,0.999996861,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0.058694479,0.9966756,0.986860961,0.067903291,0.927226771,0.41182046,0.057283774,0.992648985,0.972703276
4,0.996709036,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0.058695506,0.996675549,0.986860795,0.067906125,0.927225447,0.411790884,0.057287105,0.992648296,0.97270109
5,0.99996971,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0.058694489,0.996675599,0.986860959,0.067903314,0.92722676,0.411820216,0.057283805,0.992648978,0.972703255
6,0.999938763,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0.0586945,0.996675599,0.986860957,0.06790334,0.927226748,0.411819938,0.057283841,0.992648971,0.97270323
