,epsilon,C,kernel,degree,gamma,Temp,T_lag_1,T_lag_2,T_lag_3,E_lag_1,E_lag_2,E_lag_3,t_cos,t_sin,d_cos,d_sin,w_cos,w_sin,m_cos,m_sin,MAE_train,IA_train,R2_train,MAE_val,IA_val,R2_val,MAE_test,IA_test,R2_test
0,0.014137,17.066269,0,1,0.644957133,1,1,1,1,1,1,1,0,1,0,1,0,1,0,0,0.056932975,0.996561699,0.986265293,0.060863904,0.927518321,0.465203149,0.044786937,0.995027577,0.980663001
1,0.016055,19.225989,0,1,0.617811607,1,1,1,1,1,1,1,0,1,0,1,0,0,0,1,0.056934106,0.996559546,0.986257341,0.060975494,0.926524443,0.45113012,0.044733321,0.995036522,0.980690848
2,0.012827,16.668246,0,1,0.308892822,1,1,1,1,1,1,1,0,1,0,1,0,1,0,0,0.056933098,0.996561914,0.986265495,0.060855735,0.927532967,0.465574319,0.044756809,0.995036097,0.980693072
3,0.014533,11.672781,0,1,0.087945952,1,1,1,1,1,1,1,0,1,0,1,0,1,0,0,0.056933001,0.99656187,0.98626493,0.060879787,0.92751509,0.465403164,0.044797569,0.995028383,0.980664037
4,0.011147,7.717637,0,1,0.901402549,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0.056690492,0.996609895,0.986429691,0.06223148,0.926058453,0.395975983,0.044278304,0.995188925,0.981204807
5,0.014607,14.43789,0,1,0.698929319,1,1,1,1,1,1,1,0,1,0,1,0,1,0,0,0.056933055,0.996561316,0.986262661,0.060875901,0.927493224,0.465612204,0.044789062,0.995032958,0.980681048
6,0.014983,13.723749,0,1,0.737320967,1,1,1,1,1,1,1,0,1,0,1,0,1,0,0,0.056932822,0.996561444,0.986261681,0.060868463,0.927441612,0.464911472,0.044784441,0.995031045,0.980671694
