,epsilon,C,kernel,degree,gamma,Temp,T_lag_1,T_lag_2,T_lag_3,E_lag_1,E_lag_2,E_lag_3,t_cos,t_sin,d_cos,d_sin,w_cos,w_sin,m_cos,m_sin,MAE_train,IA_train,R2_train,MAE_val,IA_val,R2_val,MAE_test,IA_test,R2_test
0,0.0617558,15.50567122,1,1,0.015875715,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.062609265,0.996477491,0.985996883,0.075548505,0.94644893,0.725605178,0.092827796,0.982366324,0.922696371
1,0.05189148,10.34910809,1,1,0.01527006,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.062724635,0.996458937,0.985935882,0.074201388,0.950553152,0.745241947,0.092832764,0.982373834,0.92271545
2,0.047673,16.91375,1,1,0.016643554,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.062553179,0.996484588,0.986026395,0.076327741,0.944277205,0.714251139,0.092486798,0.982488246,0.923317497
3,0.04885368,4.77489002,1,1,0.085173309,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.061026782,0.996593098,0.986451897,0.102422821,0.899291823,0.5148357,0.089124858,0.983637302,0.929628777
4,4.89E-02,1.61E+01,1,1,0.013269034,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.062734931,0.99645689,0.985921737,0.074306555,0.950193734,0.741897832,0.093012218,0.982308558,0.922361058
5,0.06358468,6.13369602,1,1,0.017402338,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.062739123,0.996458012,0.985931514,0.07491134,0.949703506,0.737481238,0.093060081,0.982307317,0.922371254
6,0.03730926,5.45605996,1,1,0.018430033,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.062734915,0.996459447,0.985940027,0.075140447,0.949462397,0.737096415,0.092958896,0.982340658,0.922543184
