,n_estimators,max_depth,min_samples_split,min_samples_leaf,Temp,T_lag_1,T_lag_2,T_lag_3,E_lag_1,E_lag_2,E_lag_3,t_cos,t_sin,d_cos,d_sin,w_cos,w_sin,m_cos,m_sin,MAE_train,IA_train,R2_train,MAE_val,IA_val,R2_val,MAE_test,IA_test,R2_test
0,43,10,4,2,1,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0.025982792,0.999348335,0.997402486,0.087047186,0.933892753,0.717862089,0.08371378,0.986165889,0.938600122
1,24,13,3,2,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0.018373312,0.999652931,0.998615057,0.086299629,0.935454185,0.730063644,0.08340274,0.986665262,0.940810741
2,47,11,4,2,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0.021244681,0.999566921,0.998272522,0.087018174,0.932152477,0.707783729,0.080840511,0.986783321,0.941365269
3,32,13,2,2,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0.018190929,0.999660653,0.998646133,0.086380507,0.935126301,0.729078933,0.082778264,0.986853338,0.94169305
4,44,10,4,2,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0.024504149,0.999429653,0.997726156,0.086604675,0.933400652,0.712383693,0.081461359,0.98661425,0.940602195
5,20,19,2,2,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0.017076534,0.999687056,0.998750892,0.086188893,0.935983792,0.734662636,0.084030356,0.986502156,0.940095877
6,190,19,6,2,1,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0.017367001,0.999693204,0.998776004,0.088873589,0.927736189,0.696580736,0.079671317,0.987403339,0.943902652
