,n_estimators,max_depth,min_samples_split,min_samples_leaf,Temp,T_lag_1,T_lag_2,T_lag_3,E_lag_1,E_lag_2,E_lag_3,t_cos,t_sin,d_cos,d_sin,w_cos,w_sin,m_cos,m_sin,MAE_train,IA_train,R2_train,MAE_val,IA_val,R2_val,MAE_test,IA_test,R2_test
0,136,11,5,2,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0.019949928,0.999617135,0.998472922,0.087122902,0.931506022,0.711315098,0.080247759,0.987363442,0.943813265
1,114,19,3,2,1,0,0,0,1,1,1,1,1,0,1,0,0,0,0,0.015380173,0.999750077,0.999002526,0.086123474,0.933727739,0.722669592,0.081633666,0.987181349,0.942981507
2,140,13,5,2,1,0,0,0,1,1,1,1,1,0,1,0,0,0,0,0.017570868,0.999689569,0.998761429,0.086321862,0.933328888,0.718770997,0.08169108,0.987143156,0.94282368
3,160,18,2,2,1,1,0,0,1,0,1,1,1,0,1,0,0,0,0,0.014723043,0.999774846,0.999101356,0.087719909,0.928255204,0.700234422,0.079450076,0.98743825,0.943981675
4,224,18,3,2,1,0,0,0,1,0,1,1,0,0,1,1,0,0,1,0.014401689,0.999785425,0.999143359,0.088479871,0.933982477,0.742048626,0.092644719,0.983925041,0.927889909
5,298,12,3,2,1,0,0,0,1,1,1,1,1,0,1,0,0,0,0,0.018119611,0.999675316,0.998704839,0.086307494,0.933303231,0.721677313,0.081303595,0.987261791,0.943422906
6,114,14,2,2,1,0,0,0,1,1,1,1,1,0,1,0,0,0,0,0.016113265,0.999733672,0.998937126,0.08600325,0.933914167,0.723072197,0.081604925,0.987188426,0.943019472
