,n_estimators,max_depth,min_samples_split,min_samples_leaf,Temp,T_lag_1,T_lag_2,T_lag_3,E_lag_1,E_lag_2,E_lag_3,t_cos,t_sin,d_cos,d_sin,w_cos,w_sin,m_cos,m_sin,MAE_train,IA_train,R2_train,MAE_val,IA_val,R2_val,MAE_test,IA_test,R2_test
0,38,18,3,2,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0.012967044,0.999815116,0.999261779,0.089504444,0.930393499,0.722628858,0.092904402,0.984511512,0.930256101
1,19,14,3,2,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0.014100616,0.999790111,0.999161716,0.088593623,0.932383065,0.731804835,0.093889776,0.984175377,0.928718641
2,49,12,3,2,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0.015803473,0.999751251,0.999006917,0.089085943,0.93283586,0.731702078,0.092480736,0.984180538,0.928817109
3,268,14,3,2,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0.012909403,0.99982635,0.999306732,0.089478264,0.930699754,0.726440191,0.091609859,0.98486263,0.931967342
4,39,12,3,2,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0.015076334,0.999770073,0.999082141,0.090735463,0.933456729,0.733931757,0.091927905,0.984566065,0.931125726
5,12,18,2,2,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0.01424548,0.99977487,0.999100851,0.088430601,0.934870637,0.737348048,0.094979552,0.983720708,0.926652768
6,12,15,3,2,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0.014411607,0.999777406,0.999110898,0.088321573,0.935523604,0.742457559,0.095628069,0.983694178,0.926612059
