,n_estimators,max_depth,min_samples_split,min_samples_leaf,Temp,T_lag_1,T_lag_2,T_lag_3,E_lag_1,E_lag_2,E_lag_3,t_cos,t_sin,d_cos,d_sin,w_cos,w_sin,m_cos,m_sin,MAE_train,IA_train,R2_train,MAE_val,IA_val,R2_val,MAE_test,IA_test,R2_test
0,149,17,2,2,1,0,0,1,1,1,1,1,0,1,1,1,0,0,1,0.013620357,0.999805844,0.999224742,0.087977883,0.934732478,0.741969489,0.093379103,0.983926708,0.927923236
1,52,19,2,2,1,0,0,1,1,1,1,1,0,1,1,1,0,0,1,0.013834462,0.999796453,0.999187196,0.087353141,0.935879597,0.747739018,0.09330583,0.983992875,0.928238049
2,38,15,2,2,1,0,1,0,1,1,1,1,0,1,1,1,0,0,1,0.014208222,0.999788425,0.99915506,0.087456992,0.934946914,0.741667832,0.093720216,0.983887671,0.927528019
3,161,17,3,3,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0.017618381,0.999677074,0.998711756,0.088915674,0.92943721,0.697246471,0.079904742,0.987021063,0.942363418
4,95,15,3,2,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0.014358774,0.999785209,0.9991427,0.086232985,0.932997823,0.718701994,0.079948076,0.987453015,0.944178666
5,35,16,6,2,1,0,1,1,1,1,1,1,0,0,1,1,0,0,1,0.015743614,0.999738538,0.998956094,0.087986999,0.935205407,0.744115967,0.092730966,0.984149583,0.928871876
6,54,18,4,2,1,0,1,1,1,1,1,1,0,1,0,1,0,0,1,0.013819035,0.999796075,0.999185667,0.088022155,0.934929508,0.742834951,0.093392212,0.984014592,0.928219471
