,Temp,T_lag_1,T_lag_2,T_lag_3,E_lag_1,E_lag_2,E_lag_3,t_cos,t_sin,d_cos,d_sin,w_cos,w_sin,m_cos,m_sin,MAE_train,IA_train,R2_train,MAE_val,IA_val,R2_val,MAE_test,IA_test,R2_test
0,1,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0.058532702,0.996606299,0.986561036,0.061128589,0.928122788,0.451729334,0.048683023,0.994239729,0.977962157
1,1,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0.058532702,0.996606299,0.986561036,0.061128589,0.928122788,0.451729334,0.048683023,0.994239729,0.977962157
2,1,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0.058532702,0.996606299,0.986561036,0.061128589,0.928122788,0.451729334,0.048683023,0.994239729,0.977962157
3,1,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0.058532702,0.996606299,0.986561036,0.061128589,0.928122788,0.451729334,0.048683023,0.994239729,0.977962157
4,1,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0.058532702,0.996606299,0.986561036,0.061128589,0.928122788,0.451729334,0.048683023,0.994239729,0.977962157
5,1,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0.058532702,0.996606299,0.986561036,0.061128589,0.928122788,0.451729334,0.048683023,0.994239729,0.977962157
6,1,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0.058532702,0.996606299,0.986561036,0.061128589,0.928122788,0.451729334,0.048683023,0.994239729,0.977962157
