,Temp,T_lag_1,T_lag_2,T_lag_3,E_lag_1,E_lag_2,E_lag_3,t_cos,t_sin,d_cos,d_sin,w_cos,w_sin,m_cos,m_sin,MAE_train,IA_train,R2_train,MAE_val,IA_val,R2_val,MAE_test,IA_test,R2_test
0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.099274308,0.991327258,0.966179045,0.118637149,0.888984775,-0.851561999,0.090324046,0.980826064,0.928032851
1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.099274308,0.991327258,0.966179045,0.118637149,0.888984775,-0.851561999,0.090324046,0.980826064,0.928032851
2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.099274308,0.991327258,0.966179045,0.118637149,0.888984775,-0.851561999,0.090324046,0.980826064,0.928032851
3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.099274308,0.991327258,0.966179045,0.118637149,0.888984775,-0.851561999,0.090324046,0.980826064,0.928032851
4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.099274308,0.991327258,0.966179045,0.118637149,0.888984775,-0.851561999,0.090324046,0.980826064,0.928032851
5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.099274308,0.991327258,0.966179045,0.118637149,0.888984775,-0.851561999,0.090324046,0.980826064,0.928032851
6,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.099274308,0.991327258,0.966179045,0.118637149,0.888984775,-0.851561999,0.090324046,0.980826064,0.928032851
