,Temp,T_lag_1,T_lag_2,T_lag_3,E_lag_1,E_lag_2,E_lag_3,t_cos,t_sin,d_cos,d_sin,w_cos,w_sin,m_cos,m_sin,MAE_train,IA_train,R2_train,MAE_val,IA_val,R2_val,MAE_test,IA_test,R2_test
0,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,0.05756664,0.996721199,0.987011543,0.063587773,0.928380246,0.455615538,0.053378269,0.993435361,0.975385399
1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,0.05756664,0.996721199,0.987011543,0.063587773,0.928380246,0.455615538,0.053378269,0.993435361,0.975385399
2,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,0.05756664,0.996721199,0.987011543,0.063587773,0.928380246,0.455615538,0.053378269,0.993435361,0.975385399
3,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,0.057754685,0.996716157,0.986991809,0.063827551,0.92763792,0.434377271,0.055027374,0.99314865,0.974410858
4,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,0.05756664,0.996721199,0.987011543,0.063587773,0.928380246,0.455615538,0.053378269,0.993435361,0.975385399
5,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,0.05756664,0.996721199,0.987011543,0.063587773,0.928380246,0.455615538,0.053378269,0.993435361,0.975385399
6,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,0.05756664,0.996721199,0.987011543,0.063587773,0.928380246,0.455615538,0.053378269,0.993435361,0.975385399
