,layers,neurons,batch_size,Temp,T_lag_1,T_lag_2,T_lag_3,E_lag_1,E_lag_2,E_lag_3,t_cos,t_sin,d_cos,d_sin,w_cos,w_sin,m_cos,m_sin,MAE_train,IA_train,R2_train,MAE_val,IA_val,R2_val,MAE_test,IA_test,R2_test
0,1,10,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.06034999,0.996720461,0.986955434,0.064311755,0.961381634,0.809725452,0.089319362,0.983703395,0.929563493
1,1,10,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.06034999,0.996720461,0.986955434,0.064311755,0.961381634,0.809725452,0.089319362,0.983703395,0.929563493
2,1,7,16,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.061068167,0.996638614,0.986798492,0.067934474,0.962755642,0.822159601,0.086809179,0.984644074,0.93421557
3,1,10,5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.060444984,0.996706002,0.986828107,0.065167225,0.962513975,0.820423939,0.093650325,0.982290743,0.92279174
4,1,10,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.063720086,0.996390412,0.98562054,0.072816354,0.957219085,0.810528412,0.096805136,0.980870839,0.916383097
5,2,14,452,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.061409214,0.996623941,0.986613114,0.076946771,0.955181494,0.780302268,0.08858515,0.983957225,0.930672545
6,1,11,17,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.062259655,0.99654055,0.986255591,0.070212223,0.959524951,0.782320576,0.089446051,0.983798178,0.929396418
