Algorithm,alpha,l2_ratio,Temp,T_lag_1,T_lag_2,T_lag_3,E_lag_1,E_lag_2,E_lag_3,t_cos,t_sin,d_cos,d_sin,w_cos,w_sin,m_cos,m_sin,MAE train,MSE train,IA train,R2 train,MAE val,MSE val,IA val,R2 val,MAE test,MSE test,IA test,R2 test
LR-EN(2),0.018295594,0.000124157,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.092218683,0.118802939,0.990929192,0.965054187,0.103977574,0.132521891,0.933411879,0.378503408,0.114628838,0.149357207,0.920415807,0.422300375
LR-EN(2),0.018324426,0.00016262,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.092219989,0.118803949,0.990928903,0.965053628,0.103977516,0.132520919,0.933413185,0.378635516,0.114627927,0.149355194,0.920420479,0.422395474
LR-EN(2),0.018413352,0.000211923,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.09222401,0.118807091,0.990928019,0.965051899,0.103977718,0.132518658,0.933416641,0.379046376,0.11462621,0.14935077,0.920432908,0.422663628
LR-EN(2),0.018019725,0.000119719,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.092205801,0.118792599,0.990932036,0.965059864,0.103977519,0.132529222,0.933400368,0.377161236,0.114634211,0.149370798,0.920375867,0.421428147
LR-EN(2),0.018422507,0.000105519,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.092224761,0.118807899,0.990927849,0.965051464,0.103977602,0.132518614,0.93341739,0.379128554,0.11462565,0.149350014,0.920435437,0.422720147
LR-EN(2),0.017978781,0.000217415,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.092203627,0.118790682,0.990932523,0.965060915,0.103977722,0.132530273,0.933398179,0.376920782,0.114635716,0.149373565,0.920368481,0.421267729
LR-EN(3),0.000101033,0.007102706,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.056355284,0.078472057,0.996052675,0.984414083,0.060337881,0.081692925,0.961541758,0.75115782,0.063253928,0.086641186,0.962466247,0.7991011
LR-EN(3),0.00010111,0.006890262,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.056355306,0.078472058,0.996052675,0.984414082,0.060337924,0.081692956,0.961541781,0.751157778,0.063253981,0.08664123,0.96246624,0.79910098
LR-EN(3),0.017281621,0.000200623,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0.090317902,0.116180681,0.991349636,0.966582554,0.101637846,0.129900736,0.934619726,0.376232358,0.113387353,0.1479021,0.918872557,0.39676335
LR-EN(3),0.010264096,0.012508358,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0.089936894,0.115845335,0.991423862,0.966761223,0.101714125,0.130100627,0.934306491,0.336648839,0.113601246,0.148295067,0.918012644,0.37168668
