,max_depth,min_samples_split,min_samples_leaf,Temp,T_lag_1,T_lag_2,T_lag_3,E_lag_1,E_lag_2,E_lag_3,t_cos,t_sin,d_cos,d_sin,w_cos,w_sin,m_cos,m_sin,MAE_train,IA_train,R2_train,MAE_val,IA_val,R2_val,MAE_test,IA_test,R2_test
0,8,9,4,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0.048660053,0.997773063,0.991150504,0.096671899,0.92239185,0.622503051,0.096846141,0.980626032,0.916961898
1,8,6,4,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0.048626744,0.997776635,0.991164606,0.096940303,0.922000203,0.619188609,0.096890268,0.980621657,0.916926478
2,9,3,2,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0.040234915,0.998436383,0.993774352,0.096080696,0.920695394,0.640283892,0.095804564,0.982306356,0.920520577
3,8,9,4,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0.048660053,0.997773063,0.991150504,0.096671899,0.92239185,0.622503051,0.096846141,0.980626032,0.916961898
4,9,8,9,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0.042012362,0.998333951,0.993368583,0.09813519,0.918604984,0.658639386,0.09512224,0.982529716,0.921571085
5,9,4,9,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0.042012362,0.998333951,0.993368583,0.09813519,0.918604984,0.658639386,0.09512224,0.982529716,0.921571085
6,9,5,9,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0.042012362,0.998333951,0.993368583,0.09813519,0.918604984,0.658639386,0.09512224,0.982529716,0.921571085
