,max_depth,min_samples_split,min_samples_leaf,Temp,T_lag_1,T_lag_2,T_lag_3,E_lag_1,E_lag_2,E_lag_3,t_cos,t_sin,d_cos,d_sin,w_cos,w_sin,m_cos,m_sin,MAE_train,IA_train,R2_train,MAE_val,IA_val,R2_val,MAE_test,IA_test,R2_test
0,14,3,5,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,0.022281102,0.99948977,0.997962174,0.095795952,0.929269793,0.714545521,0.102023852,0.981868083,0.916888658
1,19,8,4,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,0.019247204,0.999605062,0.998422106,0.095182928,0.934475219,0.732974002,0.108993533,0.978730509,0.903964923
2,13,11,5,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0.023130625,0.999456632,0.997830042,0.094014914,0.929035275,0.712466654,0.104765941,0.981124713,0.913033312
3,18,2,4,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1,0.019112617,0.999615245,0.998462741,0.096964458,0.929696172,0.720903083,0.106490484,0.979348565,0.906861144
4,15,11,4,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,0.020842557,0.999543989,0.998178427,0.096288288,0.931860736,0.730296688,0.105082593,0.980810537,0.912679935
5,10,4,2,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,0.023940229,0.999423705,0.997698771,0.09504844,0.927565228,0.702434945,0.103961915,0.981159088,0.913302026
6,17,6,4,1,1,0,1,1,0,1,1,1,1,1,1,0,1,1,0.018313055,0.999641199,0.998566328,0.094470065,0.929749131,0.715798217,0.10545514,0.980186971,0.909867707
