Algorithm,epochs,layers,neurons,batch_size,learning_rate,Temp,T_lag_1,T_lag_2,T_lag_3,E_lag_1,E_lag_2,E_lag_3,t_cos,t_sin,d_cos,d_sin,w_cos,w_sin,m_cos,m_sin,MAE train,MSE train,IA train,R2 train,MAE val,MSE val,IA val,R2 val,MAE test,MSE test,IA test,R2 test
NN(10),55,4,12,3,0.0005362,1,1,1,1,1,1,0,0,1,1,1,0,0,1,0,0.038926544,0.052103121,0.998260312,0.993112128,0.051479551,0.066830941,0.980423105,0.920364937,0.073269171,0.089396671,0.966277487,0.860821185
NN(10),92,3,21,138,0.012390903,1,1,1,0,1,1,1,1,0,1,1,1,0,0,0,0.036190576,0.047480012,0.998582549,0.994361011,0.051263303,0.065695232,0.983778923,0.936788448,0.060563906,0.075173044,0.981424981,0.920941935
NN(15),94,3,11,5,0.002566014,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.035576194,0.047251573,0.998587143,0.994258243,0.05413565,0.068306058,0.982779736,0.934395267,0.05980266,0.073200918,0.968794191,0.895324552
NN(15),46,4,38,1,0.001207244,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.039547225,0.052637582,0.998183632,0.992819166,0.059309367,0.074403254,0.978962251,0.921946596,0.076381978,0.093371075,0.950739334,0.850947713
NN(15),134,4,7,7,0.002422457,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.040529242,0.053595784,0.998186154,0.992689754,0.055064391,0.070072086,0.98198734,0.930091881,0.064350105,0.079624067,0.980004826,0.920641627
NN(15),34,2,30,2,0.001101011,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.033087654,0.044194876,0.998758716,0.995050552,0.055691396,0.070116106,0.981639949,0.928355557,0.0570539,0.070673531,0.984112125,0.940927241
NN(15),128,4,6,140,0.034350671,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.039244136,0.051995452,0.998274148,0.993006887,0.059871872,0.076895377,0.976672024,0.917109307,0.072039613,0.087472497,0.96217268,0.879087194
NN(15),124,2,16,5,0.004477086,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.037481793,0.049592792,0.998405625,0.993718495,0.054841972,0.069464567,0.981701139,0.928778378,0.071555186,0.085297296,0.948127394,0.822916401
NN(15),73,4,37,3,0.002312336,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.037686595,0.049526428,0.998400998,0.993625526,0.059283819,0.074434817,0.977704301,0.910038593,0.059936014,0.073790497,0.974030668,0.918326652
NN(15),17,2,16,20,0.011650643,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.039534017,0.052408878,0.998173364,0.992776037,0.055416535,0.070894945,0.981995536,0.931318937,0.072650422,0.088053755,0.945221581,0.820721589
NN(15),86,3,13,5,0.004769572,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.040381174,0.053316003,0.998054248,0.992311941,0.059525432,0.075526726,0.976421293,0.909442387,0.078324134,0.09423353,0.9536719,0.806182794
NN(15),108,3,35,4,0.004657685,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.037527258,0.049756498,0.998372683,0.993523115,0.057182014,0.072494216,0.981226569,0.930828785,0.062882438,0.076962429,0.968260164,0.878577545
NN(15),182,3,18,4,0.004221677,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.043310001,0.056506957,0.997847267,0.991442308,0.058317097,0.074009948,0.978000417,0.916056362,0.05817836,0.072094191,0.980729579,0.933217414
NN(15),103,4,18,42,0.029283812,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.039687663,0.05188912,0.998243355,0.99313625,0.062451777,0.0786482,0.977618658,0.914662368,0.087397199,0.103507245,0.947208405,0.827597511
NN(15),163,3,5,33,0.013450195,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.03990012,0.052581671,0.998185802,0.99289208,0.056584025,0.072379823,0.981620881,0.928997795,0.078768352,0.093028364,0.942706305,0.784086043
NN(15),129,2,35,1,0.000616187,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.043983718,0.059403938,0.997726856,0.991243087,0.053922606,0.069050935,0.983809023,0.934879219,0.072282897,0.087335959,0.967805968,0.891467487
NN(15),44,4,6,74,0.014281312,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.038773391,0.051118041,0.998324252,0.993304363,0.104538435,0.123769467,0.930214305,0.807445558,0.060618829,0.075139676,0.975217214,0.909809412
