Algorithm,epochs,layers,neurons,batch_size,learning_rate,Temp,T_lag_1,T_lag_2,T_lag_3,E_lag_1,E_lag_2,E_lag_3,t_cos,t_sin,d_cos,d_sin,w_cos,w_sin,m_cos,m_sin,MAE train,MSE train,IA train,R2 train,MAE val,MSE val,IA val,R2 val,MAE test,MSE test,IA test,R2 test
NN(2),22,3,20,338,0.039936456,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.066754309,0.08796886,0.995030673,0.980411037,0.079383912,0.101118398,0.9683026,0.867300312,0.087551888,0.104491821,0.948751156,0.782135356
NN(2),156,2,27,369,0.052959402,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.066840663,0.088098974,0.994885986,0.980239572,0.078025488,0.099549394,0.971105702,0.875971175,0.09969093,0.118011718,0.929236,0.704148373
NN(2),131,2,49,997,0.026900721,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.065933787,0.086857149,0.995126788,0.980882514,0.075252339,0.09662748,0.972717746,0.880464883,0.079756454,0.098043505,0.96283783,0.835204447
NN(2),98,2,46,638,0.049077814,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.066775388,0.088273051,0.99507716,0.980367421,0.074824449,0.095579738,0.971833815,0.876702035,0.077179833,0.0954679,0.971149402,0.881787618
NN(2),98,2,48,625,0.034585646,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.067472546,0.088838808,0.99475303,0.979659678,0.078490329,0.099746686,0.970355768,0.871038029,0.088938472,0.106195322,0.945420803,0.765854554
NN(3),81,2,45,506,0.00889187,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.041992295,0.058183832,0.997853782,0.991522581,0.04739034,0.064056811,0.983987288,0.934142968,0.047441992,0.063457067,0.985456542,0.943397144
NN(3),85,2,42,521,0.017706046,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.041014441,0.057052151,0.99789921,0.991692526,0.047484858,0.064461861,0.983041572,0.928917852,0.050335161,0.065528485,0.980921172,0.926649614
NN(3),138,2,45,174,0.007052852,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0.048433904,0.065085158,0.997238421,0.989134085,0.056497441,0.074220824,0.978948046,0.911095122,0.059101421,0.074676743,0.978831347,0.913262857
NN(3),114,2,37,132,0.018921062,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0.056258169,0.074347055,0.996561426,0.986096309,0.070806662,0.087224564,0.976185566,0.898320079,0.069378527,0.08472874,0.972171549,0.894448004
NN(3),40,3,49,307,0.007975995,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0.048405077,0.064342338,0.997352107,0.98943187,0.056074711,0.073602127,0.9810669,0.922801427,0.057029314,0.071887922,0.981233832,0.929455043
NN(3),71,2,37,217,0.013177851,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0.050888063,0.067036682,0.997106708,0.988465857,0.059559043,0.076396471,0.97804838,0.91014483,0.060586154,0.076655438,0.978603455,0.900574653
NN(3),110,2,38,807,0.033716638,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.041434512,0.056863015,0.997888733,0.991624135,0.04812187,0.064658016,0.983081283,0.930434723,0.055194229,0.069930401,0.973766186,0.88991938
NN(3),180,2,42,329,0.021204382,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.041314609,0.057403118,0.997883771,0.991610917,0.048145471,0.065143365,0.98241629,0.926848022,0.050345892,0.064063032,0.980854576,0.92798064
NN(3),59,2,33,328,0.013759461,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.041912821,0.057639774,0.997904546,0.991598646,0.048070949,0.065168102,0.983892752,0.9337917,0.046851995,0.062281941,0.987236719,0.947889214
NN(3),103,2,45,232,0.010315055,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.041914301,0.057368506,0.997887639,0.991657808,0.045758731,0.062401078,0.985011401,0.936919776,0.051932499,0.067292177,0.98038503,0.923108464
NN(3),114,2,42,90,0.005359437,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.041322626,0.056641242,0.997881376,0.991719297,0.049695172,0.066506057,0.981902826,0.923997072,0.063876533,0.078516516,0.960235236,0.842212157
NN(3),66,2,42,237,0.01494025,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0.048886951,0.064876696,0.997289345,0.989268284,0.056070275,0.074241787,0.97436708,0.886478261,0.062172864,0.077166265,0.972157171,0.880404541
NN(3),83,2,43,364,0.014625075,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.040486718,0.056161997,0.997958752,0.991914461,0.045311247,0.061887199,0.985511978,0.942251872,0.046954157,0.061668504,0.985395962,0.94348988
NN(3),67,2,46,325,0.030891294,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.043240683,0.058949741,0.997745907,0.990825558,0.048413991,0.065259066,0.982469049,0.927309865,0.046106076,0.060722095,0.985611988,0.946629356
NN(3),163,2,47,609,0.01886058,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.040759089,0.056740284,0.997916239,0.991775143,0.046855898,0.063484565,0.984110143,0.933882712,0.051730185,0.067111866,0.977739542,0.914074545
NN(4),140,4,38,412,0.014932414,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0.041465261,0.056476313,0.997950099,0.991777078,0.049448196,0.066552922,0.983074916,0.930141147,0.05946172,0.073540781,0.969054953,0.882255792
