Algorithm,n_estimators,max_depth,min_samples_split,min_samples_leaf,Temp,T_lag_1,T_lag_2,T_lag_3,E_lag_1,E_lag_2,E_lag_3,t_cos,t_sin,d_cos,d_sin,w_cos,w_sin,m_cos,m_sin,MAE train,MSE train,IA train,R2 train,MAE val,MSE val,IA val,R2 val,MAE test,MSE test,IA test,R2 test
RF(15),160,13,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.014822811,0.000440966,0.999717149,0.998872562,0.072395348,0.091855653,0.97473578,0.897253072,0.080652897,0.009979766,0.960993359,0.849337921
RF(15),229,16,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.013509211,0.000383697,0.999753621,0.999017736,0.072041575,0.091415653,0.975065257,0.898653534,0.080827583,0.010003368,0.960371301,0.846726742
RF(15),278,17,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.013390774,0.000379184,0.999756416,0.999028796,0.0721678,0.091502999,0.975059433,0.898697645,0.08068917,0.010014245,0.960354228,0.846058822
RF(15),220,18,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.013393242,0.000380127,0.999756149,0.999027748,0.072059049,0.091449018,0.975016951,0.898533463,0.080729824,0.01000419,0.96080305,0.848018922
RF(15),271,17,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.013418722,0.000379291,0.999756002,0.999027286,0.072002711,0.091382375,0.975149142,0.89909589,0.080493801,0.009939883,0.960673035,0.848415901
RF(15),146,14,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.014098135,0.000408829,0.999738101,0.99895598,0.072034025,0.091447963,0.975220356,0.89932109,0.081048619,0.010083851,0.961026468,0.848625793
RF(15),221,15,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.013684076,0.000388851,0.999750363,0.999004719,0.072056939,0.091476643,0.975090773,0.898864786,0.080918319,0.010095123,0.960068516,0.845653267
RF(15),267,18,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.013384265,0.000379727,0.999756305,0.999028347,0.071927151,0.091284564,0.975111163,0.898831983,0.08067363,0.009974092,0.960707217,0.848022837
RF(15),248,18,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.013397265,0.000379249,0.999756284,0.999028221,0.072060492,0.091384506,0.97504429,0.898606407,0.080901124,0.010094394,0.960805566,0.847893652
RF(15),244,19,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.013362717,0.000378904,0.999757029,0.999031265,0.072032278,0.091396651,0.975276878,0.899429316,0.080690804,0.00996264,0.960805561,0.848210314
RF(15),248,17,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.013422173,0.000380166,0.999756104,0.999027625,0.071979862,0.091387977,0.975088637,0.898690151,0.080924795,0.01004286,0.960324842,0.846341422
RF(15),165,15,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.013728202,0.000392667,0.999747914,0.998994951,0.07230941,0.09175727,0.974950213,0.897988394,0.081215715,0.01014508,0.960645622,0.84743285
RF(15),199,16,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.013533235,0.000385535,0.9997525,0.999013259,0.072005885,0.09152279,0.975105889,0.898836948,0.080986646,0.010014423,0.960714588,0.847490531
