Algorithm,n_estimators,max_depth,min_samples_split,min_samples_leaf,Temp,T_lag_1,T_lag_2,T_lag_3,E_lag_1,E_lag_2,E_lag_3,t_cos,t_sin,d_cos,d_sin,w_cos,w_sin,m_cos,m_sin,MAE train,MSE train,IA train,R2 train,MAE val,MSE val,IA val,R2 val,MAE test,MSE test,IA test,R2 test
RF(2),85,8,9,8,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.057509058,0.005942487,0.996197816,0.985001075,0.081225377,0.104608312,0.96851194,0.863195103,0.08776543,0.012051249,0.955663337,0.814139232
RF(2),165,8,5,8,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.057454866,0.005929222,0.996208108,0.985039559,0.081301833,0.104714733,0.968490078,0.862934842,0.087822725,0.012001103,0.955574801,0.813987688
RF(2),203,8,4,9,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.057758069,0.00599076,0.996166924,0.984877803,0.081277595,0.10470602,0.968485519,0.862946776,0.087820841,0.01194114,0.95511667,0.812335318
RF(2),262,8,2,8,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.057492175,0.005936256,0.996202655,0.985017948,0.081248918,0.104645116,0.968491856,0.862892812,0.08786763,0.012006935,0.955422842,0.81347252
RF(3),181,14,4,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.021332651,0.000896967,0.999420285,0.997692405,0.062832325,0.083235562,0.978425791,0.911680984,0.07009353,0.007907724,0.965307035,0.861994896
RF(3),266,17,4,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.020267057,0.000828564,0.999464255,0.997867106,0.062762497,0.083124852,0.978481731,0.911904655,0.070173532,0.007943532,0.964967938,0.861129343
RF(3),244,18,2,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.02020541,0.000825993,0.999465587,0.997872369,0.06280463,0.083178997,0.978443926,0.911840051,0.070048276,0.007892992,0.965149232,0.861486139
RF(3),268,18,4,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.020205297,0.000826958,0.99946453,0.997868175,0.062712624,0.08309849,0.978494131,0.912106471,0.069983371,0.007873951,0.965384557,0.862246382
RF(3),137,10,4,3,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0.038125305,0.002641493,0.998304433,0.99327253,0.072051498,0.091028799,0.976292408,0.899715817,0.076758709,0.008957985,0.965061533,0.858630702
RF(3),294,18,4,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.020221708,0.000827385,0.999464991,0.997869993,0.062730934,0.083117528,0.978485784,0.911946199,0.07008627,0.007914473,0.965085951,0.861159536
RF(3),170,18,2,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.020264153,0.000830157,0.999462989,0.997861869,0.062741835,0.083152784,0.978481499,0.911944787,0.070048213,0.007911834,0.965140931,0.86145673
RF(3),188,17,5,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.02136202,0.00091759,0.999406268,0.997636506,0.062821938,0.083271313,0.978372844,0.911455308,0.070247757,0.007955666,0.965032668,0.861126771
RF(3),279,17,2,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.020290772,0.000831479,0.999461604,0.997856637,0.062704631,0.083096499,0.978452936,0.911956892,0.070017622,0.007898427,0.96540969,0.862350297
RF(3),253,17,2,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.020259215,0.000831234,0.999462199,0.997858967,0.06276126,0.083147197,0.978491198,0.911936595,0.070221629,0.007933518,0.965188004,0.86152336
RF(3),152,16,3,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.020435254,0.000841118,0.999455717,0.997833125,0.062779997,0.083151206,0.978471913,0.911975183,0.070501469,0.007989726,0.964568725,0.859406797
RF(3),253,10,8,3,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0.03869072,0.002716173,0.998255198,0.993077676,0.072077418,0.091066523,0.976237425,0.899493828,0.077147195,0.009028711,0.96400115,0.854413145
RF(3),141,11,9,3,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0.036978935,0.002495354,0.998392962,0.993622301,0.072192026,0.091294629,0.976124892,0.89899221,0.077514143,0.00914404,0.96387918,0.854025559
RF(3),278,19,3,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.020150184,0.000822771,0.999467389,0.997879678,0.062678965,0.083050264,0.978498141,0.911998697,0.070258394,0.007960693,0.965250691,0.861947803
RF(3),144,19,3,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.020172117,0.000827438,0.999464173,0.997866791,0.062764489,0.08324155,0.978436257,0.911843685,0.070101284,0.00791383,0.965157558,0.861245632
RF(4),259,17,3,2,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0.019090699,0.000723365,0.99953327,0.998141282,0.064599928,0.083105049,0.979451962,0.914961056,0.069454537,0.007472964,0.967496965,0.870278314
RF(4),257,18,2,2,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0.019054979,0.000724191,0.999532125,0.998136925,0.064454317,0.082983166,0.979509261,0.915224682,0.069511901,0.00748799,0.967403735,0.870057992
RF(4),237,19,3,2,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0.018782855,0.000716358,0.999535014,0.998148413,0.064197416,0.084428523,0.97781434,0.908713592,0.073264436,0.00864443,0.95803062,0.834293906
RF(4),212,18,2,2,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0.019069763,0.000725809,0.999530444,0.998130329,0.064585909,0.083101397,0.979405738,0.914794338,0.06961764,0.007525095,0.967299725,0.869279102
RF(4),172,19,3,2,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0.019062792,0.000724063,0.99953239,0.998138011,0.064619912,0.083106594,0.979439717,0.914938496,0.069653368,0.007523351,0.967064462,0.868650929
RF(4),271,18,3,2,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0.019037198,0.000723442,0.999532454,0.998138337,0.064439586,0.08293528,0.979501939,0.915196021,0.069765287,0.007544624,0.967012041,0.868277602
RF(4),246,18,2,2,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0.018806001,0.000717041,0.999535225,0.998149267,0.064234031,0.084499789,0.977750754,0.908472477,0.073141454,0.008619886,0.958248216,0.834754079
RF(4),247,15,2,2,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0.01927094,0.000744248,0.999517557,0.99807915,0.064150284,0.084434988,0.977842395,0.908933744,0.073343279,0.008683349,0.957878642,0.833217854
RF(4),247,15,2,2,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0.01924329,0.000741369,0.999519623,0.998087219,0.064202294,0.084488285,0.977774297,0.908493501,0.073309026,0.008621578,0.958253462,0.835005129
RF(4),286,19,3,2,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0.01878543,0.000714793,0.999536423,0.998154077,0.064160907,0.08438517,0.977854146,0.908996612,0.073294415,0.008639191,0.958269577,0.834891857
RF(4),205,19,2,2,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0.019026682,0.000720536,0.999534417,0.998145843,0.064512303,0.083003991,0.979493845,0.9151986,0.069490131,0.007488233,0.967481349,0.870083714
RF(4),233,18,2,2,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0.018820515,0.000717664,0.999534211,0.998145377,0.064083377,0.084283588,0.977881054,0.908992171,0.073217685,0.008610499,0.958459803,0.835758621
RF(4),254,15,2,2,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0.019511979,0.000749046,0.999516947,0.998076624,0.064517842,0.08304361,0.979427731,0.91492982,0.069738705,0.007526686,0.96712743,0.868852054
RF(4),208,17,3,2,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0.019129684,0.000728432,0.999529786,0.998127543,0.064526586,0.083099354,0.979402777,0.914797283,0.069522983,0.007513724,0.967510726,0.870260786
RF(4),245,18,3,2,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0.019075566,0.000726087,0.999531351,0.998133839,0.064556609,0.083078447,0.979424738,0.914889737,0.069590349,0.007508978,0.96710988,0.868864934
RF(5),247,14,5,2,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0.019862413,0.000769154,0.999506674,0.998035677,0.065993321,0.084706097,0.97797024,0.909297429,0.071328824,0.007845096,0.964631557,0.860379359
RF(5),108,14,9,3,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0.024742936,0.001195946,0.999230855,0.99694092,0.065733293,0.08451876,0.978896634,0.91262819,0.0720514,0.008135116,0.964897814,0.861279719
RF(5),109,19,2,3,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0.022589536,0.001002702,0.999354443,0.997431006,0.065690789,0.083358348,0.979886068,0.917292891,0.071948829,0.008088129,0.963165302,0.856399963
RF(5),228,18,4,2,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0.017792217,0.00064191,0.999587701,0.998358017,0.065054907,0.083738429,0.979176623,0.914109484,0.070829515,0.007763559,0.965594583,0.865215341
RF(5),225,17,7,5,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0.027672151,0.001489364,0.999041809,0.996191565,0.066213294,0.085077024,0.978658606,0.911557341,0.072845466,0.008349486,0.963668633,0.856340847
RF(5),276,14,8,3,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0.023815617,0.001110679,0.999285439,0.99715781,0.065626464,0.084384892,0.97895154,0.912949419,0.071223436,0.007932594,0.965471102,0.86382759
RF(5),224,14,2,2,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0.018750237,0.000694249,0.999554357,0.998225376,0.065051188,0.083812855,0.979178592,0.914068962,0.070942002,0.007780324,0.964839324,0.862607771
RF(5),213,18,4,2,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0.017801223,0.000642533,0.99958706,0.998355412,0.065081077,0.083762823,0.979181173,0.914009799,0.070914842,0.00776364,0.965126515,0.863541239
RF(5),126,15,5,2,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0.01924538,0.000740741,0.99952282,0.99810039,0.065264073,0.083952727,0.979085479,0.913701208,0.070771801,0.007769364,0.965817696,0.865628675
RF(5),13,15,4,3,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0.023919297,0.001140553,0.99926486,0.997075757,0.067092592,0.086390856,0.977960108,0.908358101,0.071767529,0.007918766,0.965748625,0.86149293
RF(5),99,14,3,2,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0.01947896,0.000739511,0.99952389,0.998103997,0.06537206,0.083041877,0.979882001,0.917382102,0.07170634,0.008035702,0.963789338,0.859283136
RF(5),252,17,2,2,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0.018026368,0.000660255,0.99957313,0.998300242,0.064987112,0.08555845,0.976756944,0.904312769,0.075129927,0.009112356,0.96155416,0.845912807
RF(5),185,17,6,2,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0.020226865,0.000812583,0.999477259,0.997919042,0.066155075,0.084924381,0.977952847,0.909259333,0.071603286,0.007949521,0.965098219,0.861774411
RF(5),211,17,3,2,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0.017817935,0.000644639,0.999585348,0.998348639,0.065070249,0.083748285,0.979247135,0.914379561,0.071080525,0.007808985,0.965229534,0.863695259
RF(5),103,12,6,4,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0.026794334,0.001392478,0.999102429,0.996433486,0.066480164,0.087305618,0.976149634,0.901008396,0.075270013,0.009214116,0.962626195,0.84833014
RF(7),229,11,4,4,1,1,0,1,1,0,1,1,1,0,0,0,0,0,0,0.025641119,0.001261169,0.999189473,0.996777541,0.065789846,0.083732965,0.979387946,0.914882336,0.073692993,0.008562861,0.95957117,0.843369864
RF(7),252,14,4,3,1,1,1,0,1,0,1,1,0,0,1,0,0,0,0,0.020168694,0.000813765,0.999475796,0.997913638,0.066415875,0.085187295,0.9784384,0.91004673,0.072969026,0.0084379,0.964461931,0.857508425
RF(7),145,12,2,4,1,1,0,0,1,0,1,1,1,0,1,0,0,0,0,0.02378245,0.001097749,0.999291832,0.997183777,0.065272146,0.082932401,0.979851204,0.917042998,0.073126424,0.008460282,0.959628215,0.843183079
