Algorithm,epsilon,C,Temp,T_lag_1,T_lag_2,T_lag_3,E_lag_1,E_lag_2,E_lag_3,t_cos,t_sin,d_cos,d_sin,w_cos,w_sin,m_cos,m_sin,MAE train,MSE train,IA train,R2 train,MAE val,MSE val,IA val,R2 val,MAE test,MSE test,IA test,R2 test
SVR(5),0.041412633,0.328299686,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0.054277873,0.077553883,0.996147907,0.984743391,0.057246775,0.078577968,0.960736003,0.746287944,0.058878344,0.08171386,0.963790543,0.809993854
SVR(5),0.010494695,1.538072156,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0.054200857,0.077981993,0.996106739,0.984559604,0.0567772,0.078231261,0.960707159,0.748368352,0.058354711,0.081278005,0.963866074,0.81065463
SVR(5),0.014704854,1.684408202,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0.054346169,0.078099146,0.996102258,0.984503213,0.056979161,0.078461226,0.960647742,0.746122007,0.059753836,0.083064948,0.960737413,0.788132946
SVR(5),0.015388511,0.568197748,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0.053764091,0.07671671,0.996236012,0.98504467,0.05661548,0.07736829,0.960812715,0.749173646,0.058457804,0.080916771,0.963067056,0.805110254
SVR(5),0.015155403,0.800401469,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0.054231728,0.078073928,0.996123498,0.984510205,0.056898198,0.078377521,0.96064425,0.74570567,0.057990484,0.080846696,0.963399274,0.805462565
SVR(5),0.013134602,0.568841047,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0.054199728,0.078017558,0.996103167,0.984540308,0.056879496,0.078332891,0.960692923,0.747055226,0.058310929,0.081216999,0.963922889,0.810845239
SVR(5),0.011312852,1.823759971,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0.05380011,0.076797417,0.99622696,0.985018012,0.056385038,0.077034602,0.961101552,0.752532215,0.058814509,0.081433976,0.962798442,0.802864493
SVR(5),0.01024631,1.105982352,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0.053812006,0.076888405,0.996217918,0.984979185,0.056856674,0.077651817,0.960581475,0.746820789,0.058781242,0.081326111,0.96293962,0.804887312
SVR(5),0.013423076,0.999993772,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0.05419413,0.078006373,0.996107512,0.984543878,0.057043263,0.0785134,0.960542116,0.745077723,0.05856127,0.081637283,0.962979807,0.803745362
SVR(5),0.022375804,2.636130642,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0.054411311,0.077987545,0.996106027,0.984541933,0.058274081,0.079855645,0.959761131,0.738934885,0.060079591,0.083413883,0.960757491,0.788849886
SVR(5),0.012007286,0.957225618,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0.053860111,0.076801045,0.996200589,0.984988672,0.056703726,0.077432009,0.960639073,0.747299924,0.058968177,0.081416701,0.963413958,0.808678832
SVR(5),0.016198357,0.904599693,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0.053842738,0.076834179,0.996222632,0.985004866,0.056562463,0.077267648,0.960757329,0.748099483,0.059334554,0.082105217,0.961912188,0.797225238
SVR(5),0.013861989,1.048992725,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0.054228321,0.077995921,0.996098423,0.984540457,0.056924887,0.078356327,0.960546717,0.744439334,0.058188046,0.081038692,0.9640334,0.811837431
SVR(5),0.017316227,0.732055542,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0.053775603,0.076678011,0.996239559,0.98506666,0.056734016,0.077520145,0.960536876,0.746157635,0.058320297,0.080739707,0.963481394,0.807197304
SVR(5),0.011149188,1.119351386,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0.054526534,0.07721781,0.996194423,0.984825879,0.057986477,0.078673349,0.961470525,0.740941767,0.06048917,0.083260041,0.96201083,0.78661291
SVR(7),0.010093909,0.312113307,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0.053418439,0.076632591,0.996243892,0.985075677,0.056179024,0.077068335,0.96074765,0.749479643,0.057753026,0.080168175,0.963814764,0.810658297
SVR(7),0.016389991,1.251056143,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0.053134191,0.075670864,0.996291764,0.985368522,0.056007767,0.076324621,0.96096055,0.747791884,0.059631719,0.081862771,0.963033496,0.804815478
SVR(7),0.014103823,0.322893254,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0.052890401,0.075392302,0.996359017,0.985525291,0.055657235,0.07587523,0.961443572,0.753055444,0.057619388,0.079468257,0.963893989,0.808973915
SVR(7),0.011072089,1.442041964,1,1,1,0,1,1,0,1,0,0,1,0,0,0,0,0.053647987,0.076331506,0.996280114,0.985106577,0.056584334,0.077020814,0.961757456,0.749825256,0.057146864,0.078584203,0.965559685,0.814754907
SVR(7),0.013456006,0.725694505,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0.052925484,0.075411675,0.99636449,0.985528489,0.055709861,0.075954432,0.961245904,0.751178871,0.057433936,0.079194824,0.964057468,0.809938557
SVR(7),0.017114219,0.23762311,1,1,0,1,1,0,1,0,0,0,1,0,0,1,0,0.053027833,0.075361799,0.996363417,0.985542904,0.056095242,0.076241415,0.961206916,0.750667555,0.058500717,0.080284607,0.963246212,0.804538992
SVR(7),0.01192359,0.23788404,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0.053421325,0.076587846,0.996249404,0.985091852,0.056186923,0.077031425,0.960797729,0.749380898,0.057882144,0.080332779,0.963587415,0.808962104
SVR(7),0.018716522,0.475646716,1,1,0,1,1,0,1,0,0,0,1,1,0,0,0,0.053054181,0.075242241,0.996374508,0.985606429,0.056239022,0.076297037,0.961008898,0.748655565,0.05910395,0.081189879,0.962251048,0.797536884
SVR(7),0.020347519,1.424617762,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0.053327518,0.075868355,0.996307763,0.985378301,0.056643332,0.077158001,0.960926984,0.743118505,0.058456592,0.080490581,0.964728913,0.813446103
SVR(7),0.014560571,1.679326246,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0.053028173,0.075385965,0.996357889,0.985530877,0.05597466,0.076395675,0.960802498,0.74559843,0.05800803,0.079673878,0.96419114,0.811197394
SVR(7),0.017289546,1.772034468,1,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0.053230233,0.07560003,0.996341331,0.985468687,0.055772552,0.076063129,0.961150745,0.752077968,0.058053762,0.079815176,0.964141715,0.810419445
SVR(7),0.015501549,0.625033258,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0.053487442,0.0765668,0.996240101,0.985098518,0.056189703,0.07704151,0.960688444,0.748181285,0.058165204,0.080631994,0.963620755,0.809752452
SVR(7),0.021971368,0.176276474,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0.052900399,0.075274334,0.996368957,0.985580219,0.055787707,0.075997539,0.961341435,0.75210998,0.05771875,0.079435831,0.964319278,0.81196105
SVR(7),0.015006287,1.03342529,1,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0.053119145,0.075504699,0.996336977,0.985477253,0.055868018,0.076117715,0.961324688,0.751600207,0.057559259,0.079021452,0.964737093,0.81432856
SVR(7),0.012581492,0.859152017,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0.052934116,0.075517417,0.996349745,0.985484454,0.05574378,0.076053375,0.961092806,0.748434184,0.057625019,0.079443266,0.964131023,0.81062766
SVR(10),0.012492697,0.22980427,1,1,1,1,1,1,1,0,1,0,1,0,0,0,1,0.052632894,0.075150376,0.99638277,0.985607298,0.05562287,0.075804508,0.961298005,0.751075455,0.057520551,0.079197364,0.963734314,0.807610773
SVR(10),0.011885546,0.660396207,1,1,1,1,1,1,1,0,1,0,1,0,0,1,0,0.052693582,0.07528049,0.996386247,0.985549859,0.055808398,0.076085777,0.961050953,0.74840134,0.058036324,0.079914557,0.962621062,0.799005792
SVR(10),0.012388608,0.434490625,1,1,1,1,1,1,1,0,1,0,1,0,1,0,0,0.052678583,0.075164937,0.996362795,0.985589557,0.055636251,0.07583518,0.961283501,0.751445621,0.058160701,0.079855784,0.964001566,0.809648573
SVR(10),0.022133927,0.780448947,1,1,1,1,1,1,1,0,1,0,1,0,0,1,0,0.052717615,0.075170753,0.996381706,0.985593207,0.055761559,0.07596112,0.961090435,0.750107938,0.059193288,0.081427894,0.96112689,0.789085713
SVR(10),0.01482312,0.348295511,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0.05224657,0.074453165,0.996459914,0.985878249,0.055657305,0.075590674,0.961467996,0.74393664,0.057545267,0.079298002,0.963662667,0.801614678
SVR(10),0.015362418,0.373797121,1,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0.052590425,0.074976052,0.996397117,0.985687871,0.055910578,0.076005674,0.960998209,0.749464133,0.058191989,0.080018792,0.963247385,0.805422289
SVR(10),0.012250505,0.387703195,1,1,1,1,1,1,1,0,1,0,1,0,0,0,1,0.052645469,0.075119874,0.996386456,0.985617246,0.055583285,0.075801175,0.961273521,0.751666949,0.057691988,0.079336968,0.963681587,0.807067801
SVR(10),0.010046578,1.085527724,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,0.052493163,0.074815688,0.99641951,0.985733993,0.055900433,0.075815388,0.96225119,0.750972311,0.058112981,0.079715548,0.963348493,0.800119396
SVR(10),0.013466936,1.166409496,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0.052642818,0.075064128,0.996403749,0.98567286,0.056442524,0.076371432,0.961561248,0.746166645,0.056941929,0.078135711,0.965640954,0.816279977
SVR(10),0.01314526,1.05800118,1,1,1,1,1,0,1,0,1,0,1,1,1,0,0,0.052843178,0.075093483,0.996386067,0.98565955,0.056264289,0.076307755,0.961733722,0.754591262,0.058255281,0.079530198,0.96480513,0.816042004
SVR(10),0.011421512,0.629642358,1,1,1,1,1,1,1,1,0,0,1,0,0,1,0,0.052401973,0.074708,0.996435087,0.985778035,0.055987782,0.076016912,0.961320534,0.745388632,0.058744921,0.080684454,0.96232012,0.792535142
SVR(10),0.011274348,0.800496747,1,1,1,1,1,0,1,0,1,1,1,0,0,0,1,0.052903901,0.075508605,0.996339266,0.985467899,0.055973707,0.076171449,0.961580468,0.754111187,0.058351424,0.080441421,0.963332097,0.805847649
SVR(10),0.013955648,0.938015401,1,1,1,1,1,1,1,1,0,0,1,0,0,1,0,0.052445532,0.07466906,0.99642945,0.98580042,0.055903783,0.075998575,0.961285097,0.744032688,0.058505401,0.080078476,0.963915861,0.803640581
SVR(10),0.011133135,0.355277672,1,1,1,1,1,1,1,1,0,0,1,0,1,0,0,0.052386311,0.074618478,0.996430095,0.985805095,0.055497107,0.075374498,0.962175217,0.749814944,0.057998967,0.079388814,0.964509959,0.808774648
SVR(10),0.012000057,0.367337915,1,1,1,1,1,1,1,0,0,0,1,0,1,0,1,0.052730902,0.075306774,0.996368709,0.985541782,0.055692637,0.075875207,0.96135534,0.752090059,0.057688056,0.07928273,0.963938283,0.808958443
SVR(15),0.011491856,1.165850302,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.052107486,0.073818542,0.996506497,0.986161037,0.056722255,0.076644394,0.961632965,0.739167749,0.061344241,0.083757948,0.960517561,0.780519776
SVR(15),0.013513023,2.060651564,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.053168577,0.07509113,0.996351821,0.985635563,0.058944571,0.078732745,0.960737884,0.726717644,0.061044966,0.083713661,0.9620281,0.798225027
SVR(15),0.01956784,0.821082719,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.052080627,0.074050822,0.996519591,0.986062188,0.056647837,0.076442833,0.962396815,0.747145645,0.059137823,0.080697872,0.963429821,0.800082197
SVR(15),0.012878123,0.89121251,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.052047966,0.073957329,0.996507731,0.986099402,0.056920998,0.07680082,0.961794232,0.740995472,0.059609559,0.081353531,0.962648248,0.794225706
SVR(15),0.015438711,0.720791293,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.051937313,0.073901583,0.996530063,0.986121443,0.056362114,0.076156535,0.962108556,0.742385947,0.060164737,0.082415888,0.959596597,0.770284189
SVR(15),0.013152477,1.079724409,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.052274089,0.074251002,0.996499639,0.985989432,0.05726807,0.077315002,0.961575167,0.734969015,0.062314627,0.084799492,0.955931933,0.741048476
SVR(15),0.013860545,1.236347086,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.052259683,0.074344679,0.996488486,0.985978973,0.057031237,0.077142135,0.961223399,0.730109092,0.058756684,0.080633052,0.963083514,0.796658017
